City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
284,carrollton,75,US,broken clouds,73,32.95,-96.89,77.0,0.0,0,6.93
285,san luis,75,AR,broken clouds,78,-33.3,-66.34,46.2,0.0,0,14.63
286,soyo,100,AO,overcast clouds,90,-6.13,12.37,70.83,0.0,0,5.7
287,harindanga,40,IN,haze,89,22.04,88.32,89.6,0.0,0,8.05
288,eloy,1,US,clear sky,7,32.76,-111.55,100.99,0.0,0,9.17
289,nanortalik,34,GL,scattered clouds,77,60.14,-45.24,40.3,0.0,0,6.22
290,port keats,0,AU,clear sky,37,-14.25,129.55,83.46,0.0,0,4.47
291,torbay,75,CA,broken clouds,93,47.67,-52.73,64.99,0.0,0,23.04
292,laredo,1,US,clear sky,62,27.51,-99.51,84.2,0.0,0,8.05
293,lavumisa,0,SZ,clear sky,71,-27.31,31.89,54.19,0.0,0,2.62
294,calamar,0,CO,clear sky,83,10.25,-74.91,78.44,0.0,0,4.74
295,itamaraju,0,BR,clear sky,79,-17.04,-39.53,60.78,0.0,0,1.12
296,graaff-reinet,0,ZA,clear sky,40,-32.25,24.53,52.65,0.0,0,9.98
297,constitucion,100,CL,light rain,82,-35.33,-72.42,48.79,0.72,0,5.06
298,geraldton,40,AU,scattered clouds,72,-28.77,114.6,66.2,0.0,0,4.7
299,thompson,20,CA,few clouds,31,55.74,-97.86,78.8,0.0,0,5.82
300,fort wellington,100,GY,moderate rain,90,6.4,-57.6,77.04,1.4,0,9.06
301,seoul,90,KR,moderate rain,100,37.57,126.98,71.6,0.0,0,17.22
302,inirida,99,CO,overcast clouds,95,3.87,-67.92,74.82,0.0,0,1.59
303,kudahuvadhoo,100,MV,overcast clouds,76,2.67,72.89,83.86,0.0,0,13.0
304,at-bashi,93,KG,light rain,48,41.17,75.81,60.26,0.12,0,4.25
305,kiunga,85,PG,overcast clouds,71,-6.12,141.29,83.88,0.0,0,2.73
306,coquimbo,90,CL,overcast clouds,93,-29.95,-71.34,53.6,0.0,0,4.7
307,muisne,100,EC,overcast clouds,88,0.6,-80.03,76.42,0.0,0,8.46
308,mount isa,0,AU,clear sky,21,-20.73,139.5,69.8,0.0,0,8.05
309,cherskiy,89,RU,overcast clouds,40,68.75,161.3,55.29,0.0,0,16.24
310,ndago,0,TZ,clear sky,73,-4.6,34.35,62.02,0.0,0,13.0
311,curup,93,ID,moderate rain,83,-3.47,102.53,75.61,1.18,0,0.34
312,mwene-ditu,0,CD,clear sky,48,-7.0,23.45,62.49,0.0,0,5.61
313,boa vista,90,BR,overcast clouds,83,2.82,-60.67,78.8,0.0,0,9.17
314,wanning,100,CN,overcast clouds,70,18.8,110.4,88.48,0.0,0,14.16
315,tasiilaq,100,GL,overcast clouds,86,65.61,-37.64,41.0,0.0,0,1.12
316,nelson,19,NZ,few clouds,72,-41.28,173.28,57.99,0.0,0,8.01
317,kendari,67,ID,light rain,66,-3.94,122.5,84.56,0.11,0,4.23
318,half moon bay,20,US,few clouds,68,37.46,-122.43,69.01,0.0,0,8.05
319,praia da vitoria,40,PT,scattered clouds,77,38.73,-27.07,60.8,0.0,0,12.21
320,leningradskiy,95,RU,overcast clouds,88,69.38,178.42,33.71,0.0,0,13.51
321,mulege,0,MX,clear sky,42,26.88,-111.98,83.41,0.0,0,1.07
322,praya,75,CV,broken clouds,78,14.92,-23.51,77.0,0.0,0,13.87
323,quatre cocos,40,MU,scattered clouds,83,-20.21,57.76,71.6,0.0,0,9.17
324,emilio carranza,100,MX,moderate rain,85,19.97,-96.61,80.35,1.84,0,7.36
325,paungde,88,MM,overcast clouds,67,18.48,95.5,88.05,0.0,0,7.02
326,te anau,9,NZ,clear sky,74,-45.42,167.72,51.08,0.0,0,1.19
327,rocha,100,UY,moderate rain,97,-34.48,-54.33,57.06,1.63,0,6.46
328,simbahan,41,PH,scattered clouds,68,6.3,120.58,83.97,0.0,0,4.68
329,saint george,1,US,clear sky,11,37.1,-113.58,99.0,0.0,0,9.17
330,chapais,90,CA,light rain,100,49.78,-74.85,64.4,0.0,0,5.82
331,itarema,100,BR,overcast clouds,79,-2.92,-39.92,77.67,0.0,0,10.38
332,coolum beach,0,AU,clear sky,48,-26.53,153.1,66.99,0.0,0,1.99
333,windhoek,0,NA,clear sky,32,-22.56,17.08,51.8,0.0,0,1.12
334,bathsheba,75,BB,light rain,88,13.22,-59.52,78.8,0.0,0,23.04
335,zhigansk,23,RU,few clouds,42,66.77,123.37,74.73,0.0,0,4.18
336,turkistan,0,KZ,clear sky,16,43.0,68.0,82.2,0.0,0,3.02
337,nome,75,US,broken clouds,54,64.5,-165.41,53.6,0.0,0,11.41
338,champerico,81,GT,broken clouds,76,14.3,-91.92,82.65,0.0,0,5.44
339,padang,100,ID,overcast clouds,79,-0.95,100.35,78.26,0.0,0,7.18
340,labuhan,91,ID,overcast clouds,67,-6.88,112.21,83.97,0.0,0,2.82
341,zyryanka,7,RU,clear sky,21,65.75,150.85,83.16,0.0,0,5.44
342,pangnirtung,100,CA,light rain,83,66.15,-65.71,43.56,0.21,0,0.85
343,lusambo,0,CD,clear sky,53,-4.97,23.45,67.1,0.0,0,1.97
344,quelimane,63,MZ,broken clouds,83,-17.88,36.89,69.8,0.0,0,3.36
345,elliot,0,ZA,clear sky,52,-31.33,27.85,43.57,0.0,0,7.23
346,coihaique,18,CL,few clouds,92,-45.58,-72.07,30.2,0.0,0,5.82
347,demba,2,CD,clear sky,55,-5.51,22.27,64.9,0.0,0,2.04
348,port blair,100,IN,moderate rain,74,11.67,92.75,84.24,1.18,0,7.87
349,goderich,39,CA,scattered clouds,83,43.75,-81.72,63.0,0.0,0,25.99
350,manggar,100,ID,moderate rain,83,-2.88,108.27,80.4,1.02,0,10.71
351,okhotsk,56,RU,broken clouds,76,59.38,143.3,50.86,0.0,0,12.3
352,ormara,0,PK,clear sky,71,25.21,64.64,86.04,0.0,0,2.08
353,almaznyy,0,RU,clear sky,82,48.04,40.05,64.4,0.0,0,2.24
354,gold coast,0,AU,clear sky,42,-28.0,153.43,66.0,0.0,0,8.05
355,trairi,89,BR,overcast clouds,80,-3.28,-39.27,77.59,0.0,0,7.16
356,fortuna,90,US,overcast clouds,93,40.6,-124.16,61.0,0.0,0,8.05
357,umm lajj,59,SA,broken clouds,18,25.02,37.27,92.66,0.0,0,20.87
358,yar-sale,13,RU,few clouds,52,66.83,70.83,54.99,0.0,0,6.06
359,castelo,89,BR,overcast clouds,79,-20.6,-41.18,58.77,0.0,0,3.8
360,tutoia,21,BR,few clouds,84,-2.76,-42.27,76.23,0.0,0,10.07
361,iquitos,52,PE,broken clouds,98,-3.75,-73.25,72.3,0.0,0,1.5
362,souillac,40,MU,scattered clouds,83,-20.52,57.52,71.6,0.0,0,9.17
363,gubkinskiy,0,RU,clear sky,61,64.43,76.5,55.67,0.0,0,2.68
364,marabba,97,SD,overcast clouds,62,12.35,32.18,82.4,0.0,0,18.84
365,albina,100,SR,light rain,97,5.5,-54.05,73.94,0.53,0,2.19
366,chuy,100,UY,light rain,91,-33.7,-53.46,65.1,0.11,0,3.83
367,dingle,96,PH,overcast clouds,62,11.0,122.67,89.11,0.0,0,7.99
368,arman,6,RU,clear sky,68,59.7,150.17,57.09,0.0,0,7.29
369,acari,42,PE,scattered clouds,63,-15.43,-74.62,63.34,0.0,0,3.74
370,vila franca do campo,20,PT,light intensity shower rain,93,37.72,-25.43,60.8,0.0,0,16.11
371,plettenberg bay,0,ZA,clear sky,40,-34.05,23.37,62.62,0.0,0,5.23
372,casino,0,AU,clear sky,42,-28.87,153.05,64.99,0.0,0,11.41
373,isangel,90,VU,overcast clouds,94,-19.55,169.27,77.0,0.0,0,3.89
374,okha,100,RU,overcast clouds,92,53.57,142.95,43.45,0.0,0,11.07
375,westport,66,US,light rain,94,41.14,-73.36,72.0,0.18,0,7.34
376,dubna,0,RU,clear sky,77,56.73,37.17,58.55,0.0,0,4.79
377,aras,0,ES,clear sky,64,42.56,-2.36,73.4,0.0,0,8.05
378,baker city,1,US,clear sky,30,44.77,-117.83,86.0,0.0,0,4.7
379,harper,100,LR,overcast clouds,81,4.38,-7.72,76.24,0.0,0,6.91
380,haines junction,0,CA,clear sky,45,60.75,-137.51,54.03,0.0,0,10.31
381,teya,14,RU,few clouds,34,60.38,92.63,82.65,0.0,0,2.19
382,warri,91,NG,overcast clouds,96,5.52,5.75,74.95,0.0,0,1.43
383,tarancon,20,ES,few clouds,39,40.01,-3.01,78.8,0.0,0,11.41
384,marienburg,80,PL,broken clouds,100,54.04,19.03,60.01,0.0,0,5.82
385,lulea,99,SE,overcast clouds,93,65.58,22.15,62.6,0.0,0,2.24
386,emporia,1,US,clear sky,60,38.4,-96.18,71.6,0.0,0,4.7
387,chemal,95,RU,overcast clouds,56,51.41,86.0,74.62,0.0,0,2.46
388,manoel urbano,90,BR,overcast clouds,85,-8.84,-69.26,73.92,0.0,0,3.0
389,sawakin,93,SD,overcast clouds,38,19.11,37.33,85.96,0.0,0,7.52
390,nanlong,30,CN,scattered clouds,69,31.35,106.06,82.89,0.0,0,4.85
391,balikpapan,95,ID,moderate rain,91,-1.27,116.83,78.03,2.0,0,4.34
392,sidi ali,0,DZ,clear sky,50,36.1,0.42,73.2,0.0,0,8.32
393,bahia blanca,23,AR,few clouds,51,-38.72,-62.27,47.3,0.0,0,4.92
394,touros,20,BR,few clouds,88,-5.2,-35.46,75.2,0.0,0,5.82
395,la palma,1,US,clear sky,64,33.85,-118.05,71.6,0.0,0,5.82
396,atambua,19,ID,few clouds,60,-9.11,124.89,81.27,0.0,0,2.98
397,vuktyl,95,RU,light rain,74,63.86,57.31,45.05,0.16,0,10.65
398,soderhamn,8,SE,clear sky,67,61.3,17.06,66.0,0.0,0,3.0
399,faranah,48,GN,light rain,96,10.04,-10.74,71.46,0.27,0,6.89
400,tazovskiy,61,RU,broken clouds,78,67.47,78.7,50.2,0.0,0,6.11
401,kruisfontein,0,ZA,clear sky,33,-34.0,24.73,59.43,0.0,0,13.02
402,tateyama,40,JP,scattered clouds,88,34.98,139.87,75.99,0.0,0,13.87
403,campagna,0,IT,clear sky,49,40.67,15.11,71.01,0.0,0,5.01
404,along,99,IN,moderate rain,89,28.17,94.77,76.39,1.15,0,0.47
405,mehamn,14,NO,few clouds,72,71.04,27.85,46.65,0.0,0,8.84
406,fukue,75,JP,broken clouds,78,32.69,128.84,80.6,0.0,0,16.11
407,primo tapia,90,MX,overcast clouds,77,32.22,-116.92,66.0,0.0,0,5.82
408,altoona,25,US,scattered clouds,89,40.52,-78.39,70.0,0.0,0,7.94
409,fort walton beach,20,US,few clouds,83,30.41,-86.62,82.4,0.0,0,8.05
410,richards bay,0,ZA,clear sky,70,-28.78,32.04,58.44,0.0,0,6.87
411,potsdam,18,DE,few clouds,83,52.4,13.07,57.99,0.0,0,3.0
412,longyearbyen,40,SJ,scattered clouds,86,78.22,15.64,41.0,0.0,0,2.24
413,dhidhdhoo,93,MV,overcast clouds,78,6.88,73.1,83.73,0.0,0,16.06
414,maceio,20,BR,few clouds,94,-9.67,-35.74,73.4,0.0,0,2.24
415,bela,0,IN,clear sky,60,25.93,81.98,90.82,0.0,0,10.98
416,iquique,20,CL,few clouds,72,-20.22,-70.14,59.0,0.0,0,5.82
417,bereda,4,ES,clear sky,100,43.27,-7.54,62.01,0.0,0,1.34
418,jalu,0,LY,clear sky,57,29.03,21.55,68.88,0.0,0,5.3
419,aranos,0,NA,clear sky,51,-24.13,19.12,46.45,0.0,0,11.81
420,logrono,1,ES,clear sky,64,42.47,-2.45,73.4,0.0,0,8.05
421,kaitangata,98,NZ,overcast clouds,85,-46.28,169.85,46.99,0.0,0,4.0
422,bara,44,NG,scattered clouds,78,10.37,10.73,74.97,0.0,0,8.12
423,asau,14,RO,light rain,94,46.43,26.4,57.0,0.25,0,2.84
424,the valley,40,AI,scattered clouds,78,18.22,-63.06,82.99,0.0,0,9.17
425,awjilah,0,LY,clear sky,60,29.11,21.29,68.49,0.0,0,5.73
426,hurricane,1,US,clear sky,14,37.18,-113.29,99.0,0.0,0,9.17
427,normandin,75,CA,broken clouds,100,48.83,-72.53,68.0,0.0,0,5.91
428,kenner,40,US,scattered clouds,88,29.99,-90.24,78.01,0.0,0,10.6
429,boca do acre,13,BR,few clouds,82,-8.75,-67.4,74.5,0.0,0,2.68
430,katsuura,79,JP,broken clouds,78,35.13,140.3,75.0,0.0,0,8.01
431,cabra,0,ES,clear sky,48,37.47,-4.44,73.0,0.0,0,1.97
432,skjervoy,99,NO,overcast clouds,94,70.03,20.97,49.89,0.0,0,2.48
433,kapit,81,MY,broken clouds,62,2.02,112.93,88.48,0.0,0,0.49
434,izazi,5,TZ,clear sky,77,-7.2,35.73,62.6,0.0,0,4.7
435,bolobo,60,CD,broken clouds,58,-2.17,16.23,72.09,0.0,0,1.52
436,anloga,20,GH,few clouds,88,5.79,0.9,78.8,0.0,0,4.7
437,tripoli,0,LY,clear sky,76,32.88,13.19,69.64,0.0,0,1.07
438,grand gaube,53,MU,light rain,82,-20.01,57.66,70.0,0.25,0,3.0
439,parfenyevo,0,RU,clear sky,69,58.48,43.41,52.38,0.0,0,7.4
440,dakoro,0,NE,clear sky,42,14.51,6.76,87.69,0.0,0,12.57
441,venice,1,US,clear sky,79,27.1,-82.45,86.0,0.0,0,5.82
442,ambovombe,2,MG,clear sky,85,-25.17,46.08,63.99,0.0,0,9.78
443,shimoda,40,JP,scattered clouds,88,34.67,138.95,75.2,0.0,0,13.87
444,kabale,94,UG,overcast clouds,81,-1.25,29.99,58.06,0.0,0,2.26
445,vitim,70,RU,moderate rain,47,59.45,112.56,74.48,1.48,0,1.5
446,porto novo,24,BJ,light rain,88,6.5,2.6,77.25,0.15,0,5.41
447,ilulissat,83,GL,broken clouds,86,69.22,-51.1,39.2,0.0,0,3.36
448,shieli,0,KZ,clear sky,36,44.17,66.75,74.61,0.0,0,16.62
449,kruszwica,21,PL,few clouds,90,52.68,18.33,57.0,0.0,0,8.43
450,pisco,90,PE,overcast clouds,88,-13.7,-76.22,62.6,0.0,0,2.24
451,rundu,0,NA,clear sky,50,-17.93,19.77,51.8,0.0,0,3.36
452,foz,0,ES,clear sky,1,43.57,-7.25,62.01,0.0,0,1.99
453,north platte,1,US,clear sky,53,41.12,-100.77,73.4,0.0,0,6.93
454,saint-georges,20,GD,few clouds,78,12.06,-61.75,82.4,0.0,0,17.22
455,cuamba,9,MZ,clear sky,95,-14.8,36.54,59.59,0.0,0,4.92
456,troitsko-pechorsk,91,RU,overcast clouds,59,62.71,56.2,45.25,0.0,0,9.24
457,prince rupert,1,CA,clear sky,87,54.32,-130.32,55.4,0.0,0,9.17
458,xai-xai,0,MZ,clear sky,90,-25.05,33.64,59.9,0.0,0,2.93
459,mogzon,100,RU,overcast clouds,77,51.74,111.96,59.45,0.0,0,3.87
460,alofi,40,NU,scattered clouds,69,-19.06,-169.92,80.6,0.0,0,8.05
461,mangan,100,IN,light rain,54,27.52,88.53,80.56,0.18,0,1.05
462,sur,10,OM,clear sky,78,22.57,59.53,82.72,0.0,0,3.42
463,lavrentiya,99,RU,overcast clouds,67,65.58,-171.0,41.09,0.0,0,11.41
464,vila,0,PT,clear sky,91,42.03,-8.16,61.0,0.0,0,1.99
465,timra,59,SE,broken clouds,93,62.49,17.33,61.0,0.0,0,6.93
466,iracoubo,100,GF,light rain,91,5.48,-53.2,77.11,0.29,0,6.93
467,otradnoye,2,RU,clear sky,72,59.78,30.82,64.4,0.0,0,4.47
468,west plains,90,US,overcast clouds,69,36.73,-91.85,73.4,0.0,0,4.7
469,shumskiy,11,RU,light rain,55,54.83,99.13,77.58,0.24,0,2.26
470,bahir dar,74,ET,broken clouds,82,11.59,37.39,61.21,0.0,0,3.36
471,caucaia,100,BR,light rain,78,-3.74,-38.65,81.0,0.15,0,6.93
472,sakakah,0,SA,clear sky,15,29.97,40.21,77.0,0.0,0,13.87
473,sheksna,0,RU,clear sky,66,59.21,38.51,55.4,0.0,0,6.71
474,ancud,66,CL,broken clouds,100,-41.87,-73.82,39.0,0.0,0,3.36
475,waingapu,23,ID,few clouds,58,-9.66,120.26,82.67,0.0,0,14.92
476,una,37,IN,light rain,73,20.82,71.03,86.25,0.3,0,8.01
477,galveston,1,US,clear sky,78,29.37,-94.97,80.6,0.0,0,14.99
478,innisfail,99,AU,light rain,81,-17.53,146.03,70.09,0.11,0,8.41
479,tiarei,40,PF,scattered clouds,69,-17.53,-149.33,80.6,0.0,0,13.87
480,shaowu,100,CN,moderate rain,85,27.34,117.48,82.74,1.1,0,2.24
481,bairiki,9,KI,clear sky,74,1.33,172.98,86.0,0.0,0,11.41
482,macomer,0,IT,clear sky,82,40.26,8.77,69.01,0.0,0,2.24
483,salmas,0,IR,clear sky,63,38.2,44.77,62.6,0.0,0,6.93
484,jibuti,1,DJ,clear sky,66,11.5,42.5,89.6,0.0,0,2.57
485,carberry,20,CA,few clouds,49,49.87,-99.36,71.6,0.0,0,5.82
486,eydhafushi,99,MV,overcast clouds,79,5.1,73.07,83.34,0.0,0,13.87
487,stonewall,20,CA,few clouds,68,50.13,-97.33,66.2,0.0,0,2.82
488,portel,19,BR,few clouds,78,-1.94,-50.82,76.33,0.0,0,1.63
489,adre,1,TD,clear sky,19,13.47,22.2,74.7,0.0,0,3.15
490,san quintin,97,MX,overcast clouds,85,30.48,-115.95,64.54,0.0,0,14.2
491,acapulco,90,MX,overcast clouds,78,16.86,-99.89,80.6,0.0,0,8.05
492,banda aceh,56,ID,broken clouds,63,5.56,95.32,85.46,0.0,0,4.14
493,lahaina,20,US,shower rain,54,20.88,-156.68,87.8,0.0,0,13.87
494,kieta,4,PG,clear sky,60,-6.22,155.63,86.16,0.0,0,7.27
495,kupang,75,ID,broken clouds,48,-10.17,123.58,87.8,0.0,0,13.87
496,pangkalanbuun,73,ID,moderate rain,88,-2.68,111.62,81.75,1.35,0,4.27
497,gyongyostarjan,83,HU,broken clouds,59,47.81,19.87,64.4,0.0,0,8.05
498,pringsewu,100,ID,overcast clouds,63,-5.36,104.97,85.48,0.0,0,0.78
499,poya,51,NC,light rain,70,-21.35,165.15,73.98,0.11,0,8.16
500,broken hill,90,AU,overcast clouds,62,-31.95,141.43,57.2,0.0,0,8.05
501,levelland,75,US,broken clouds,54,33.59,-102.38,78.8,0.0,0,9.17
502,tuburan,75,PH,light intensity shower rain,83,6.64,122.27,84.2,0.0,0,5.82
503,nakhon phanom,20,TH,few clouds,74,17.41,104.78,87.8,0.0,0,4.7
504,praia,75,CV,broken clouds,78,14.92,-23.51,77.0,0.0,0,13.87
505,vadso,40,NO,scattered clouds,81,70.07,29.75,46.4,0.0,0,9.17
506,ocampo,100,MX,light rain,64,21.65,-101.5,62.53,0.13,0,9.57
507,umm kaddadah,12,SD,few clouds,32,13.6,26.69,87.71,0.0,0,10.76
508,moussoro,41,TD,scattered clouds,27,13.64,16.49,87.53,0.0,0,8.81
509,sirjan,0,IR,clear sky,15,29.45,55.68,82.06,0.0,0,9.64
510,kant,0,IN,clear sky,52,27.8,79.8,92.55,0.0,0,10.98
511,jiaonan,75,CN,broken clouds,83,35.88,119.98,75.2,0.0,0,15.66
512,tulum,90,MX,overcast clouds,94,20.22,-87.47,82.99,0.0,0,4.7
513,ahvaz,0,IR,clear sky,35,31.32,48.67,84.2,0.0,0,2.24
514,cayenne,100,GF,light rain,100,4.93,-52.33,77.0,0.63,0,4.74
515,stavern,0,NO,clear sky,100,59.0,10.03,60.8,0.0,0,2.24
516,monrovia,92,LR,light rain,87,6.3,-10.8,76.59,0.83,0,6.82
517,niigata,75,JP,broken clouds,69,37.9,139.02,80.6,0.0,0,11.41
518,san cristobal,36,VE,scattered clouds,76,7.77,-72.22,65.66,0.0,0,2.71
519,sibolga,97,ID,overcast clouds,57,1.74,98.78,85.5,0.0,0,1.81
520,baturaja,100,ID,overcast clouds,66,-4.13,104.17,84.52,0.0,0,1.99
521,lyubech,26,UA,scattered clouds,89,51.7,30.66,56.55,0.0,0,9.4
522,zolochiv,75,UA,mist,100,49.81,24.89,59.0,0.0,0,6.71
523,funtua,0,NG,clear sky,83,11.52,7.31,72.32,0.0,0,7.7
524,sarangani,97,PH,light rain,71,5.4,125.46,85.15,0.26,0,13.18
525,faya,100,SA,overcast clouds,22,18.39,42.45,68.0,0.0,0,6.49
526,poso,92,ID,light rain,65,-1.4,120.75,86.49,0.78,0,2.39
527,gazanjyk,0,TM,clear sky,16,39.24,55.52,87.87,0.0,0,5.3
528,yeppoon,0,AU,clear sky,26,-23.13,150.73,69.8,0.0,0,6.93
529,ubauro,0,PK,clear sky,33,28.17,69.73,100.83,0.0,0,13.29
530,jadu,0,LY,clear sky,80,31.95,12.03,59.81,0.0,0,3.83
531,abay,90,KZ,overcast clouds,76,49.63,72.85,57.2,0.0,0,13.42
532,los llanos de aridane,90,ES,overcast clouds,64,28.66,-17.92,73.4,0.0,0,16.11
533,inongo,96,CD,overcast clouds,64,-1.95,18.27,69.62,0.0,0,4.65
534,floro,82,NO,broken clouds,77,61.6,5.03,62.6,0.0,0,10.29
535,aracoiaba,100,BR,overcast clouds,76,-4.37,-38.81,74.59,0.0,0,1.25
536,chara,19,RU,light rain,53,56.91,118.26,67.26,0.88,0,6.73
537,pinega,6,RU,clear sky,69,64.7,43.39,42.44,0.0,0,6.8
538,palmer,20,US,few clouds,78,42.16,-72.33,73.4,0.0,0,6.93
539,amazar,61,RU,broken clouds,39,53.86,120.88,72.5,0.0,0,5.68
540,lleida,0,ES,clear sky,82,41.62,0.62,66.0,0.0,0,8.05
541,meulaboh,99,ID,overcast clouds,70,4.14,96.13,81.18,0.0,0,3.31
542,aki,40,JP,scattered clouds,74,33.5,133.9,78.8,0.0,0,10.29
543,husavik,100,IS,overcast clouds,93,66.04,-17.34,44.6,0.0,0,10.29
544,baherden,0,TM,clear sky,14,38.44,57.43,89.08,0.0,0,4.85
545,novikovo,73,RU,broken clouds,89,51.15,37.89,56.93,0.0,0,11.48
546,rognan,92,NO,overcast clouds,86,67.1,15.39,55.99,0.0,0,5.14
547,smithers,75,CA,broken clouds,37,54.78,-127.17,66.2,0.0,0,6.93
548,saint anthony,1,US,clear sky,82,45.02,-93.22,63.0,0.0,0,7.58
549,ixhuatan,66,MX,broken clouds,74,16.36,-94.48,80.58,0.0,0,2.17
550,lodja,7,CD,clear sky,56,-3.48,23.43,67.42,0.0,0,1.21
551,upernavik,55,GL,broken clouds,94,72.79,-56.15,33.44,0.0,0,9.13
552,baykit,57,RU,broken clouds,39,61.67,96.37,81.66,0.0,0,3.04
553,bendigo,0,AU,clear sky,55,-36.77,144.28,63.0,0.0,0,1.99
554,kurilsk,100,RU,overcast clouds,76,45.23,147.88,54.09,0.0,0,2.64
555,palu,100,ID,moderate rain,75,-0.89,119.87,84.0,1.33,0,1.83
556,two rivers,18,US,few clouds,88,44.15,-87.57,61.0,0.0,0,4.54
557,dunedin,91,NZ,overcast clouds,79,-45.87,170.5,52.0,0.0,0,3.94
558,abrau-dyurso,20,RU,few clouds,94,44.69,37.59,71.6,0.0,0,6.71
559,acajutla,95,SV,moderate rain,100,13.59,-89.83,68.0,1.64,0,4.0
560,edd,83,ER,broken clouds,50,13.93,41.69,88.32,0.0,0,6.04
561,progreso,100,MX,overcast clouds,72,21.28,-89.67,84.0,0.0,0,8.68
562,horta,51,PT,broken clouds,67,38.53,-28.63,60.55,0.0,0,13.94
563,esperance,20,AU,few clouds,67,-33.87,121.9,57.2,0.0,0,21.92
564,xuddur,27,SO,scattered clouds,79,4.12,43.89,73.72,0.0,0,19.04
565,weihai,99,CN,overcast clouds,91,37.5,122.11,70.59,0.0,0,22.5
566,magadan,18,RU,few clouds,73,59.57,150.8,55.31,0.0,0,7.67
567,miandrivazo,2,MG,clear sky,78,-19.52,45.47,70.95,0.0,0,1.05
568,nieuwpoort,100,BE,overcast clouds,87,51.12,2.77,63.0,0.0,0,5.82
569,vysokogornyy,100,RU,overcast clouds,70,50.12,139.15,55.8,0.0,0,6.69
570,estelle,90,US,overcast clouds,100,29.85,-90.11,77.0,0.0,0,9.86
571,puksoozero,0,RU,clear sky,65,62.59,40.61,42.67,0.0,0,5.68
572,batagay-alyta,70,RU,broken clouds,24,67.8,130.41,83.61,0.0,0,9.35
573,lasa,6,IT,clear sky,100,46.62,10.7,57.99,0.0,0,1.12
